Data number,Slot opening width Bs0 (mm),Axial length of permanent magnet/moving pole distance a,Air gap thickness gap (mm),Coil radial width rcoil (mm),Permanent magnet radial length rpm (mm),Average thrust (N),Thrust fluctuation (N),Average copper loss (W)
1,0.709952293,0.447213595,1.341640786,1.224744871,0.292770022,102.8759611,46.71156887,24.31911344
2,0.709952293,-0.447213595,-1.341640786,1.224744871,-0.878310066,87.43707604,39.77852446,22.80262232
3,0.709952293,0.447213595,-1.341640786,1.224744871,-0.878310066,91.88748986,62.38526676,22.80262232
4,0.709952293,1.341640786,1.341640786,-1.224744871,0.878310066,99.46329709,49.27866911,19.05126592
5,0.709952293,0.447213595,-1.341640786,-1.224744871,-1.463850109,68.2032249,38.54462248,17.15467555
6,0.709952293,-0.447213595,-1.341640786,-1.224744871,0.878310066,85.39053304,39.08993215,18.53446871
7,0.709952293,-0.447213595,1.341640786,-1.224744871,1.463850109,94.48121182,24.61031486,19.3956301
8,0.709952293,1.341640786,1.341640786,-1.224744871,0.292770022,84.14368987,46.76485137,18.70676915
9,0.283980917,0.447213595,-1.341640786,1.224744871,-1.463850109,81.22951744,60.03817941,22.368697
10,0.283980917,-0.447213595,1.341640786,-1.224744871,0.878310066,83.90181368,15.9727099,19.05126592
11,0.283980917,1.341640786,1.341640786,-1.224744871,0.292770022,86.27228994,45.32424584,18.70676915
12,0.283980917,0.447213595,1.341640786,-1.224744871,0.878310066,92.90028727,29.13085147,19.05126592
13,0.283980917,1.341640786,1.341640786,1.224744871,0.292770022,101.1258388,55.21788346,24.31911344
14,0.709952293,-0.447213595,1.341640786,1.224744871,-0.878310066,82.20759474,28.26293384,23.45295499
15,0.709952293,-0.447213595,-1.341640786,-1.224744871,-1.463850109,63.87164968,39.76074045,17.15467555
16,0.709952293,0.447213595,1.341640786,1.224744871,1.463850109,115.8367716,46.85077988,25.18428894
17,0.709952293,1.341640786,1.341640786,-1.224744871,-0.878310066,74.17888623,29.14515125,18.01734701
18,0.709952293,1.341640786,-1.341640786,-1.224744871,-1.463850109,67.1265173,34.98121692,17.15467555
19,0.709952293,0.447213595,1.341640786,1.224744871,-1.463850109,74.56491131,24.1152398,23.01947179
20,0.283980917,-0.447213595,1.341640786,-1.224744871,-0.878310066,70.38945063,19.73329023,18.01734701
21,0.283980917,-0.447213595,1.341640786,1.224744871,0.292770022,95.30754238,18.16631125,24.31911344
22,0.283980917,-0.447213595,-1.341640786,-1.224744871,1.463850109,98.00535354,40.70704208,18.87903457
23,0.283980917,0.447213595,1.341640786,-1.224744871,-0.878310066,73.58526379,28.43588188,18.01734701
24,0.709952293,0.447213595,-1.341640786,1.224744871,0.292770022,113.8400135,69.13101565,23.66959277
25,0.283980917,0.447213595,1.341640786,1.224744871,0.878310066,109.4208486,42.46974737,24.75181749
26,0.283980917,1.341640786,1.341640786,-1.224744871,-0.292770022,75.80346945,37.58521976,18.36213224
27,0.283980917,0.447213595,-1.341640786,1.224744871,-0.292770022,94.0953473,63.73518231,23.23624866
28,0.709952293,-0.447213595,1.341640786,-1.224744871,-0.878310066,73.14161614,23.26397326,18.01734701
29,0.709952293,-0.447213595,-1.341640786,1.224744871,-1.463850109,82.74991887,52.34242242,22.368697
30,0.709952293,-0.447213595,-1.341640786,1.224744871,0.292770022,113.954279,46.21506788,23.66959277
31,0.709952293,1.341640786,-1.341640786,1.224744871,1.463850109,133.8465901,108.1427852,24.53549533
32,0.709952293,1.341640786,-1.341640786,1.224744871,-1.463850109,89.17366827,48.68481886,22.368697
33,0.709952293,0.447213595,-1.341640786,1.224744871,1.463850109,126.8846064,96.15780584,24.53549533
34,0.709952293,1.341640786,-1.341640786,-1.224744871,0.292770022,93.52978052,58.9824726,18.1897587
35,0.709952293,1.341640786,-1.341640786,1.224744871,0.878310066,126.190195,97.91595271,24.1026702
36,0.709952293,1.341640786,-1.341640786,-1.224744871,-0.292770022,89.34431049,59.88299976,17.84489606
37,0.283980917,0.447213595,-1.341640786,-1.224744871,1.463850109,89.71926779,73.52370329,18.87903457
38,0.283980917,1.341640786,1.341640786,1.224744871,-0.878310066,90.010123,40.05558495,23.45295499
39,0.283980917,1.341640786,1.341640786,1.224744871,0.878310066,112.692113,52.97455831,24.75181749
40,0.283980917,0.447213595,1.341640786,-1.224744871,1.463850109,104.5839852,48.84289507,19.3956301
41,0.283980917,0.447213595,-1.341640786,1.224744871,-0.878310066,94.53538333,54.07946798,22.80262232
42,0.709952293,-0.447213595,1.341640786,-1.224744871,0.292770022,84.85457866,24.09786425,18.70676915
43,0.283980917,1.341640786,-1.341640786,-1.224744871,-1.463850109,68.26836802,35.16620488,17.15467555
44,0.709952293,-0.447213595,1.341640786,-1.224744871,0.878310066,88.2078986,24.09800358,19.05126592
45,0.709952293,-0.447213595,1.341640786,1.224744871,-1.463850109,65.1803476,21.84840363,23.01947179
46,0.283980917,-0.447213595,1.341640786,1.224744871,-0.878310066,84.7049392,29.34439281,23.45295499
47,0.283980917,-0.447213595,1.341640786,1.224744871,-1.463850109,64.81705397,20.76131294,23.01947179
48,0.283980917,1.341640786,-1.341640786,1.224744871,-0.292770022,97.32779185,72.73429435,23.23624866
49,0.283980917,-0.447213595,-1.341640786,-1.224744871,0.878310066,88.90014749,33.14211613,18.53446871
50,0.709952293,1.341640786,1.341640786,-1.224744871,-1.463850109,63.63239556,24.88809994,17.67240468
51,0.283980917,-0.447213595,-1.341640786,1.224744871,-0.878310066,88.14443886,36.93338087,22.80262232
52,0.709952293,0.447213595,1.341640786,-1.224744871,-1.463850109,66.70119058,26.51453819,17.67240468
53,0.709952293,1.341640786,1.341640786,1.224744871,0.878310066,115.338821,51.29749862,24.75181749
54,0.283980917,-0.447213595,1.341640786,-1.224744871,-1.463850109,68.33483997,24.56316456,17.67240468
55,0.283980917,1.341640786,-1.341640786,1.224744871,-0.878310066,100.5506871,58.42616553,22.80262232
56,0.283980917,-0.447213595,-1.341640786,-1.224744871,-1.463850109,66.16007342,42.89006034,17.15467555
57,0.283980917,0.447213595,1.341640786,1.224744871,-0.292770022,95.34124885,35.8466526,23.8861639
58,0.283980917,-0.447213595,1.341640786,1.224744871,1.463850109,118.6368224,34.70842933,25.18428894
59,0.283980917,0.447213595,-1.341640786,-1.224744871,0.878310066,89.95826986,46.36095199,18.53446871
60,0.283980917,1.341640786,-1.341640786,-1.224744871,1.463850109,98.16441316,81.18457558,18.87903457
61,0.283980917,1.341640786,1.341640786,-1.224744871,0.878310066,98.6217527,44.8076703,19.05126592
62,0.283980917,0.447213595,1.341640786,1.224744871,1.463850109,117.7462668,45.64593625,25.18428894
63,0.709952293,1.341640786,1.341640786,1.224744871,1.463850109,115.9527013,66.23418309,25.18428894
64,0.283980917,1.341640786,-1.341640786,1.224744871,-1.463850109,89.47471749,52.38300142,22.368697
65,0.283980917,-0.447213595,1.341640786,-1.224744871,0.292770022,81.46361246,18.10321297,18.70676915
66,0.283980917,-0.447213595,-1.341640786,1.224744871,1.463850109,133.5195542,53.01250867,24.53549533
67,0.283980917,0.447213595,-1.341640786,-1.224744871,-1.463850109,69.02164514,40.21033837,17.15467555
68,0.283980917,0.447213595,-1.341640786,1.224744871,1.463850109,127.4666986,95.5996353,24.53549533
69,0.709952293,0.447213595,1.341640786,-1.224744871,0.878310066,93.41812494,31.35294927,19.05126592
70,0.709952293,-0.447213595,-1.341640786,1.224744871,-0.292770022,97.57973775,41.1122325,23.23624866
71,0.283980917,0.447213595,1.341640786,1.224744871,-1.463850109,75.8078895,28.07905131,23.01947179
72,0.283980917,0.447213595,1.341640786,-1.224744871,-0.292770022,73.21262649,33.36764602,18.36213224
73,0.283980917,1.341640786,-1.341640786,-1.224744871,-0.878310066,79.47264072,46.60769572,17.49987165
74,0.709952293,1.341640786,1.341640786,-1.224744871,-0.292770022,75.4822576,35.53110561,18.36213224
75,0.283980917,-0.447213595,1.341640786,1.224744871,-0.292770022,85.15184797,27.1923243,23.8861639
76,0.283980917,1.341640786,1.341640786,-1.224744871,1.463850109,87.84683452,56.0646252,19.3956301
77,0.709952293,0.447213595,-1.341640786,1.224744871,0.878310066,113.337429,83.92871069,24.1026702
78,0.283980917,1.341640786,1.341640786,1.224744871,-0.292770022,92.99887169,34.22901842,23.8861639
79,0.283980917,1.341640786,-1.341640786,1.224744871,0.292770022,109.2658171,76.23893524,23.66959277
80,0.283980917,-0.447213595,-1.341640786,1.224744871,0.878310066,109.3785105,44.71474012,24.1026702
81,0.709952293,-0.447213595,-1.341640786,1.224744871,0.878310066,108.3134537,48.49615857,24.1026702
82,0.709952293,1.341640786,-1.341640786,-1.224744871,0.878310066,96.46496045,74.51711325,18.53446871
83,0.709952293,0.447213595,1.341640786,1.224744871,-0.878310066,72.12092233,22.56808159,23.45295499
84,0.709952293,-0.447213595,1.341640786,1.224744871,0.292770022,94.63366965,22.25234926,24.31911344
85,0.709952293,-0.447213595,1.341640786,1.224744871,0.878310066,105.2537375,37.93057502,24.75181749
86,0.709952293,-0.447213595,1.341640786,1.224744871,-0.292770022,85.46406675,25.42146143,23.8861639
87,0.283980917,1.341640786,1.341640786,1.224744871,1.463850109,125.6997701,65.14579714,25.18428894
88,0.283980917,1.341640786,1.341640786,1.224744871,-1.463850109,81.24215664,29.25042141,23.01947179
89,0.283980917,1.341640786,1.341640786,-1.224744871,-1.463850109,63.52005273,29.11555248,17.67240468
90,0.283980917,-0.447213595,-1.341640786,-1.224744871,-0.878310066,68.64886939,32.45379672,17.49987165
91,0.283980917,1.341640786,-1.341640786,-1.224744871,0.292770022,89.27037796,62.67705052,18.1897587
92,0.709952293,1.341640786,1.341640786,-1.224744871,1.463850109,95.14196401,59.59216896,19.3956301
93,0.283980917,0.447213595,-1.341640786,1.224744871,0.878310066,113.7880278,86.72200792,24.1026702
94,0.709952293,1.341640786,1.341640786,1.224744871,-0.292770022,93.10341564,33.39679311,23.8861639
95,0.709952293,0.447213595,1.341640786,-1.224744871,-0.292770022,79.6201316,38.21742758,18.36213224
96,0.709952293,1.341640786,1.341640786,1.224744871,-1.463850109,79.60235982,25.16660014,23.01947179
97,0.709952293,0.447213595,1.341640786,-1.224744871,1.463850109,100.7505863,52.24405934,19.3956301
98,0.283980917,0.447213595,1.341640786,1.224744871,-0.878310066,76.49250441,26.31610103,23.45295499
99,0.283980917,-0.447213595,-1.341640786,-1.224744871,0.292770022,82.86746089,31.83186872,18.1897587
100,0.709952293,0.447213595,-1.341640786,-1.224744871,1.463850109,86.82054687,65.9683558,18.87903457
101,0.709952293,-0.447213595,1.341640786,-1.224744871,-1.463850109,69.7876814,25.26062988,17.67240468
102,0.709952293,0.447213595,-1.341640786,-1.224744871,0.292770022,91.36336531,60.01177406,18.1897587
103,0.283980917,0.447213595,-1.341640786,-1.224744871,-0.292770022,84.1085064,62.25502244,17.84489606
104,0.283980917,0.447213595,-1.341640786,1.224744871,0.292770022,115.3451311,72.70718869,23.66959277
105,0.283980917,-0.447213595,-1.341640786,-1.224744871,-0.292770022,83.69482774,41.05226009,17.84489606
106,0.709952293,0.447213595,1.341640786,1.224744871,0.878310066,107.3040592,45.70370087,24.75181749
107,0.709952293,-0.447213595,-1.341640786,1.224744871,1.463850109,129.5435845,61.14592989,24.53549533
108,0.709952293,0.447213595,-1.341640786,-1.224744871,-0.878310066,80.57405478,49.41671191,17.49987165
109,0.283980917,-0.447213595,1.341640786,-1.224744871,1.463850109,97.36464039,19.10703262,19.3956301
110,0.709952293,1.341640786,-1.341640786,-1.224744871,-0.878310066,78.45143337,44.61525181,17.49987165
111,0.709952293,1.341640786,-1.341640786,1.224744871,-0.878310066,98.56105386,53.4113919,22.80262232
112,0.709952293,-0.447213595,-1.341640786,-1.224744871,0.292770022,81.69003631,41.44275544,18.1897587
113,0.283980917,0.447213595,-1.341640786,-1.224744871,-0.878310066,81.7089456,50.3903176,17.49987165
114,0.283980917,-0.447213595,1.341640786,-1.224744871,-0.292770022,81.37939349,34.13246655,18.36213224
115,0.283980917,-0.447213595,1.341640786,1.224744871,0.878310066,104.0698185,35.58500307,24.75181749
116,0.709952293,0.447213595,-1.341640786,1.224744871,-1.463850109,80.43090136,59.26466865,22.368697
117,0.709952293,1.341640786,-1.341640786,1.224744871,0.292770022,106.1337984,76.86261482,23.66959277
118,0.283980917,-0.447213595,-1.341640786,1.224744871,-1.463850109,82.26922419,46.87987639,22.368697
119,0.283980917,0.447213595,1.341640786,-1.224744871,-1.463850109,67.52966302,24.34855385,17.67240468
120,0.709952293,0.447213595,1.341640786,1.224744871,-0.292770022,96.55336691,34.92057852,23.8861639
121,0.283980917,1.341640786,-1.341640786,1.224744871,0.878310066,120.4811671,96.95423457,24.1026702
122,0.709952293,1.341640786,-1.341640786,-1.224744871,1.463850109,92.58767849,89.79772723,18.87903457
123,0.283980917,1.341640786,1.341640786,-1.224744871,-0.878310066,73.68428515,27.17119198,18.01734701
124,0.709952293,0.447213595,1.341640786,-1.224744871,-0.878310066,72.22733855,29.70532344,18.01734701
125,0.283980917,1.341640786,-1.341640786,-1.224744871,0.878310066,94.65825022,77.19000928,18.53446871
126,0.283980917,-0.447213595,-1.341640786,1.224744871,-0.292770022,100.2028988,52.78334299,23.23624866
127,0.709952293,-0.447213595,1.341640786,-1.224744871,-0.292770022,79.51772706,30.5977003,18.36213224
