数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
1,0.709952293,0.447213595,1.341640786,1.224744871,0.292770022,102.8759611,46.71156887,24.31911344,0.873498023,,,,,,,24319.11344,873.4980226
2,-0.141990459,1.341640786,1.341640786,1.224744871,-0.292770022,91.43453896,34.58558708,23.8861639,0.79769731,,,,,,,23886.1639,797.69731
3,0.709952293,-0.447213595,-1.341640786,1.224744871,-0.878310066,87.43707604,39.77852446,22.80262232,0.89855818,,,,,,,24319.11344,898.5581803
4,0.709952293,0.447213595,-1.341640786,1.224744871,-0.878310066,91.88748986,62.38526676,22.80262232,1.082034262,,,,,,,25184.28894,1082.034262
5,0.709952293,1.341640786,1.341640786,-1.224744871,0.878310066,99.46329709,49.27866911,19.05126592,0.628555497,,,,,,,23019.47179,628.5554967
6,0.99393321,-0.447213595,1.341640786,1.224744871,0.878310066,104.7795293,40.02566971,24.75181749,0.905691766,,,,,,,24319.11344,905.6917663
7,0.99393321,1.341640786,1.341640786,-1.224744871,-0.292770022,75.36218512,35.06702668,18.36213224,0.664249497,,,,,,,23019.47179,664.2494967
8,0.709952293,0.447213595,-1.341640786,-1.224744871,-1.463850109,68.2032249,38.54462248,17.15467555,0.677480386,,,,,,,23019.47179,677.4803856
9,0.99393321,0.447213595,-1.341640786,-1.224744871,-1.463850109,62.86583871,34.39321569,17.15467555,0.794508562,,,,,,,23886.1639,794.5085617
10,0.709952293,-0.447213595,-1.341640786,-1.224744871,0.878310066,85.39053304,39.08993215,18.53446871,1.094458786,,,,,,,25184.28894,1094.458786
11,0.99393321,0.447213595,-1.341640786,1.224744871,-0.878310066,89.9491274,61.21894838,22.80262232,1.089493859,,,,,,,25184.28894,1089.493859
