Data number,Slot opening width Bs0 (mm),Axial length of permanent magnet/moving pole distance a,Air gap thickness gap (mm),Coil radial width rcoil (mm),Permanent magnet radial length rpm (mm),Average thrust (N),Thrust fluctuation (N),Average copper loss (W)
1,1,0.5,0.7,8,4.8,57.1000656,29.81171154,17.15467555
2,3,0.5,0.7,8,4.8,54.66046051,44.80085682,17.15467555
3,1,0.5,0.7,9,4.8,63.91894309,32.64214201,19.71795869
4,3,0.5,0.7,9,4.8,65.39936018,45.91128252,19.71795869
5,1,0.5,0.7,10,4.8,78.0910534,23.61307171,22.368697
6,3,0.5,0.7,10,4.8,74.09399215,44.46193153,22.368697
7,1,0.5,0.9,8,4.8,59.38468622,19.54698449,17.32729571
8,3,0.5,0.9,8,4.8,57.54514116,37.48686779,17.32729571
9,1,0.5,0.9,9,4.8,68.18383657,22.68191503,19.91269334
10,3,0.5,0.9,9,4.8,71.75577183,34.93064176,19.91269334
11,1,0.5,0.9,10,4.8,76.06624678,20.05065615,22.58569814
12,3,0.5,0.9,10,4.8,74.61071999,36.3271897,22.58569814
13,1,0.5,1.1,8,4.8,59.52664816,20.09324244,17.49987165
14,3,0.5,1.1,8,4.8,58.7017584,30.44126363,17.49987165
15,1,0.5,1.1,9,4.8,64.75654531,18.39167794,20.10736863
16,3,0.5,1.1,9,4.8,65.68380122,29.55497781,20.10736863
17,1,0.5,1.1,10,4.8,72.27859891,25.86336333,22.80262232
18,3,0.5,1.1,10,4.8,69.96018379,35.83014011,22.80262232
19,1,0.5,1.3,8,4.8,55.9724043,18.96710867,17.67240468
20,3,0.5,1.3,8,4.8,57.87901629,26.18150108,17.67240468
21,1,0.5,1.3,9,4.8,63.99593694,15.68580594,20.30198629
22,3,0.5,1.3,9,4.8,63.97931177,26.15006537,20.30198629
23,1,0.5,1.3,10,4.8,71.27993821,29.81103781,23.01947179
24,3,0.5,1.3,10,4.8,73.83013576,30.95244549,23.01947179
25,1,0.5,0.7,8,5.2,59.98352736,29.90425145,17.49987165
26,3,0.5,0.7,8,5.2,65.42373252,48.08157533,17.49987165
27,1,0.5,0.7,9,5.2,74.70325904,19.65942126,20.10736863
28,3,0.5,0.7,9,5.2,71.94569765,36.48335859,20.10736863
29,1,0.5,0.7,10,5.2,87.95618159,31.24881755,22.80262232
30,3,0.5,0.7,10,5.2,85.1550126,66.16115068,22.80262232
31,1,0.5,0.9,8,5.2,65.36562095,19.85494755,17.67240468
32,3,0.5,0.9,8,5.2,63.06994995,34.10306101,17.67240468
33,1,0.5,0.9,9,5.2,74.37018309,24.97924008,20.30198629
34,3,0.5,0.9,9,5.2,75.35880969,39.54893865,20.30198629
35,1,0.5,0.9,10,5.2,83.73754895,40.26378795,23.01947179
36,3,0.5,0.9,10,5.2,79.46376404,44.8694419,23.01947179
37,1,0.5,1.1,8,5.2,62.08590936,24.08921144,17.84489606
38,3,0.5,1.1,8,5.2,64.4092487,27.24106833,17.84489606
39,1,0.5,1.1,9,5.2,74.83066255,15.92416021,20.496548
40,3,0.5,1.1,9,5.2,71.21895756,33.21339575,20.496548
41,1,0.5,1.1,10,5.2,81.04153388,30.83747683,23.23624866
42,3,0.5,1.1,10,5.2,77.11314997,39.14834323,23.23624866
43,1,0.5,1.3,8,5.2,65.92705677,22.0269275,18.01734701
44,3,0.5,1.3,8,5.2,61.42478166,23.86022299,18.01734701
45,1,0.5,1.3,9,5.2,70.05887667,17.81179554,20.69105537
46,3,0.5,1.3,9,5.2,69.20876989,24.63870075,20.69105537
47,1,0.5,1.3,10,5.2,78.73820755,24.99819405,23.45295499
48,3,0.5,1.3,10,5.2,78.99042882,26.85737159,23.45295499
49,1,0.5,0.7,8,5.6,73.85610932,31.20788341,17.84489606
50,3,0.5,0.7,8,5.6,76.97454077,43.09757803,17.84489606
51,1,0.5,0.7,9,5.6,81.05769009,29.35290765,20.496548
52,3,0.5,0.7,9,5.6,76.02783173,51.04161657,20.496548
53,1,0.5,0.7,10,5.6,92.81401899,35.78511456,23.23624866
54,3,0.5,0.7,10,5.6,86.42823001,55.34288812,23.23624866
55,1,0.5,0.9,8,5.6,71.44921342,26.82863219,18.01734701
56,3,0.5,0.9,8,5.6,73.04137876,39.51870575,18.01734701
57,1,0.5,0.9,9,5.6,71.08436986,28.61141511,20.69105537
58,3,0.5,0.9,9,5.6,74.44231273,40.82495143,20.69105537
59,1,0.5,0.9,10,5.6,89.42063053,24.1462433,23.45295499
60,3,0.5,0.9,10,5.6,85.94513573,38.25170854,23.45295499
